# x y z us_num us_exact err_us uc_num uc_exact err_uc u_num u_exact err_u
7.419354838710e-01 0.000000000000e+00 0.000000000000e+00 3.030153077190e-01 3.030153077190e-01 0.000000000000e+00 1.515076538595e-01 1.515076538595e-01 0.000000000000e+00 3.368385241352e-01 3.368385241352e-01 0.000000000000e+00
7.741935483871e-01 0.000000000000e+00 0.000000000000e+00 3.592511702495e-01 3.592511702495e-01 0.000000000000e+00 1.796255851248e-01 1.796255851248e-01 0.000000000000e+00 3.993515538591e-01 3.993515538591e-01 0.000000000000e+00
8.064516129032e-01 0.000000000000e+00 0.000000000000e+00 4.229735977850e-01 4.229735977850e-01 0.000000000000e+00 2.114867988925e-01 2.114867988925e-01 0.000000000000e+00 4.701868149782e-01 4.701868149782e-01 0.000000000000e+00
8.387096774194e-01 0.000000000000e+00 0.000000000000e+00 4.948192840228e-01 4.948192840228e-01 0.000000000000e+00 2.474096420114e-01 2.474096420114e-01 0.000000000000e+00 5.500520703013e-01 5.500520703013e-01 0.000000000000e+00
8.709677419355e-01 0.000000000000e+00 0.000000000000e+00 5.754509101580e-01 5.754509101580e-01 0.000000000000e+00 2.877254550790e-01 2.877254550790e-01 0.000000000000e+00 6.396839709154e-01 6.396839709154e-01 0.000000000000e+00
9.032258064516e-01 0.000000000000e+00 0.000000000000e+00 6.655571448835e-01 6.655571448835e-01 0.000000000000e+00 3.327785724418e-01 3.327785724418e-01 0.000000000000e+00 7.398480561849e-01 7.398480561849e-01 0.000000000000e+00
9.354838709677e-01 0.000000000000e+00 0.000000000000e+00 7.658526443903e-01 7.658526443903e-01 0.000000000000e+00 3.829263221952e-01 3.829263221952e-01 0.000000000000e+00 8.513387537525e-01 8.513387537525e-01 0.000000000000e+00
9.677419354839e-01 0.000000000000e+00 0.000000000000e+00 8.770780523670e-01 8.770780523670e-01 0.000000000000e+00 4.385390261835e-01 4.385390261835e-01 0.000000000000e+00 9.749793795387e-01 9.749793795387e-01 0.000000000000e+00
1.000000000000e+00 0.000000000000e+00 0.000000000000e+00 1.000000000000e+00 1.000000000000e+00 0.000000000000e+00 5.000000000000e-01 5.000000000000e-01 0.000000000000e+00 1.111622137742e+00 1.111622137742e+00 0.000000000000e+00
0.000000000000e+00 3.225806451613e-02 0.000000000000e+00 1.082812410330e-06 1.082812410330e-06 0.000000000000e+00 5.414062051648e-07 5.414062051648e-07 0.000000000000e+00 1.203678246344e-06 1.203678246344e-06 0.000000000000e+00
3.225806451613e-02 3.225806451613e-02 0.000000000000e+00 2.165624820659e-06 2.165624820659e-06 0.000000000000e+00 1.082812410330e-06 1.082812410330e-06 0.000000000000e+00 2.407356492688e-06 2.407356492688e-06 0.000000000000e+00
6.451612903226e-02 3.225806451613e-02 0.000000000000e+00 1.840781097560e-05 1.840781097560e-05 0.000000000000e+00 9.203905487802e-06 9.203905487802e-06 0.000000000000e+00 2.046253018785e-05 2.046253018785e-05 0.000000000000e+00
9.677419354839e-02 3.225806451613e-02 0.000000000000e+00 8.879061764703e-05 8.879061764703e-05 0.000000000000e+00 4.439530882351e-05 4.439530882351e-05 0.000000000000e+00 9.870161620022e-05 9.870161620022e-05 0.000000000000e+00
1.290322580645e-01 3.225806451613e-02 0.000000000000e+00 2.782827894547e-04 2.782827894547e-04 0.000000000000e+00 1.391413947274e-04 1.391413947274e-04 0.000000000000e+00 3.093453093104e-04 3.093453093104e-04 0.000000000000e+00
1.612903225806e-01 3.225806451613e-02 0.000000000000e+00 6.778405688663e-04 6.778405688663e-04 0.000000000000e+00 3.389202844332e-04 3.389202844332e-04 0.000000000000e+00 7.535025822114e-04 7.535025822114e-04 0.000000000000e+00
1.935483870968e-01 3.225806451613e-02 0.000000000000e+00 1.404407696197e-03 1.404407696197e-03 0.000000000000e+00 7.022038480987e-04 7.022038480987e-04 0.000000000000e+00 1.561170685508e-03 1.561170685508e-03 0.000000000000e+00
2.258064516129e-01 3.225806451613e-02 0.000000000000e+00 2.600915409612e-03 2.600915409612e-03 0.000000000000e+00 1.300457704806e-03 1.300457704806e-03 0.000000000000e+00 2.891235147719e-03 2.891235147719e-03 0.000000000000e+00
2.580645161290e-01 3.225806451613e-02 0.000000000000e+00 4.436282445120e-03 4.436282445120e-03 0.000000000000e+00 2.218141222560e-03 2.218141222560e-03 0.000000000000e+00 4.931469775272e-03 4.931469775272e-03 0.000000000000e+00
2.903225806452e-01 3.225806451613e-02 0.000000000000e+00 7.105415036583e-03 7.105415036583e-03 0.000000000000e+00 3.552707518291e-03 3.552707518291e-03 0.000000000000e+00 7.898536652510e-03 7.898536652510e-03 0.000000000000e+00
3.225806451613e-01 3.225806451613e-02 0.000000000000e+00 1.082920691571e-02 1.082920691571e-02 0.000000000000e+00 5.414603457853e-03 5.414603457853e-03 0.000000000000e+00 1.203798614169e-02 1.203798614169e-02 0.000000000000e+00
3.548387096774e-01 3.225806451613e-02 0.000000000000e+00 1.585453931205e-02 1.585453931205e-02 0.000000000000e+00 7.927269656023e-03 7.927269656023e-03 0.000000000000e+00 1.762425688297e-02 1.762425688297e-02 0.000000000000e+00
3.870967741935e-01 3.225806451613e-02 0.000000000000e+00 2.245428095300e-02 2.245428095300e-02 0.000000000000e+00 1.122714047650e-02 1.122714047650e-02 0.000000000000e+00 2.496067579444e-02 2.496067579444e-02 0.000000000000e+00
4.193548387097e-01 3.225806451613e-02 0.000000000000e+00 3.092728806383e-02 3.092728806383e-02 0.000000000000e+00 1.546364403192e-02 1.546364403192e-02 0.000000000000e+00 3.437945807208e-02 3.437945807208e-02 0.000000000000e+00
4.516129032258e-01 3.225806451613e-02 0.000000000000e+00 4.159840436763e-02 4.159840436763e-02 0.000000000000e+00 2.079920218382e-02 2.079920218382e-02 0.000000000000e+00 4.624170718980e-02 4.624170718980e-02 0.000000000000e+00
4.838709677419e-01 3.225806451613e-02 0.000000000000e+00 5.481846108535e-02 5.481846108535e-02 0.000000000000e+00 2.740923054267e-02 2.740923054267e-02 0.000000000000e+00 6.093741489942e-02 6.093741489942e-02 0.000000000000e+00
5.161290322581e-01 3.225806451613e-02 0.000000000000e+00 7.096427693577e-02 7.096427693577e-02 0.000000000000e+00 3.548213846789e-02 3.548213846789e-02 0.000000000000e+00 7.888546123065e-02 7.888546123065e-02 0.000000000000e+00
5.483870967742e-01 3.225806451613e-02 0.000000000000e+00 9.043865813555e-02 9.043865813555e-02 0.000000000000e+00 4.521932906777e-02 4.521932906777e-02 0.000000000000e+00 1.005336144912e-01 1.005336144912e-01 0.000000000000e+00
5.806451612903e-01 3.225806451613e-02 0.000000000000e+00 1.136703983992e-01 1.136703983992e-01 0.000000000000e+00 5.683519919959e-02 5.683519919959e-02 0.000000000000e+00 1.263585312665e-01 1.263585312665e-01 0.000000000000e+00
6.129032258065e-01 3.225806451613e-02 0.000000000000e+00 1.411142789390e-01 1.411142789390e-01 0.000000000000e+00 7.055713946949e-02 7.055713946949e-02 0.000000000000e+00 1.568657564201e-01 1.568657564201e-01 0.000000000000e+00
6.451612903226e-01 3.225806451613e-02 0.000000000000e+00 1.732510684651e-01 1.732510684651e-01 0.000000000000e+00 8.662553423257e-02 8.662553423257e-02 0.000000000000e+00 1.925897230933e-01 1.925897230933e-01 0.000000000000e+00
6.774193548387e-01 3.225806451613e-02 0.000000000000e+00 2.105875231857e-01 2.105875231857e-01 0.000000000000e+00 1.052937615929e-01 1.052937615929e-01 0.000000000000e+00 2.340937527055e-01 2.340937527055e-01 0.000000000000e+00
7.096774193548e-01 3.225806451613e-02 0.000000000000e+00 2.536563868066e-01 2.536563868066e-01 0.000000000000e+00 1.268281934033e-01 1.268281934033e-01 0.000000000000e+00 2.819700549538e-01 2.819700549538e-01 0.000000000000e+00
7.419354838710e-01 3.225806451613e-02 0.000000000000e+00 3.030163905315e-01 3.030163905315e-01 0.000000000000e+00 1.515081952657e-01 1.515081952657e-01 0.000000000000e+00 3.368397278134e-01 3.368397278134e-01 0.000000000000e+00
7.741935483871e-01 3.225806451613e-02 0.000000000000e+00 3.592522530619e-01 3.592522530619e-01 0.000000000000e+00 1.796261265310e-01 1.796261265310e-01 0.000000000000e+00 3.993527575373e-01 3.993527575373e-01 0.000000000000e+00
8.064516129032e-01 3.225806451613e-02 0.000000000000e+00 4.229746805974e-01 4.229746805974e-01 0.000000000000e+00 2.114873402987e-01 2.114873402987e-01 0.000000000000e+00 4.701880186564e-01 4.701880186564e-01 0.000000000000e+00
8.387096774194e-01 3.225806451613e-02 0.000000000000e+00 4.948203668352e-01 4.948203668352e-01 0.000000000000e+00 2.474101834176e-01 2.474101834176e-01 0.000000000000e+00 5.500532739796e-01 5.500532739796e-01 0.000000000000e+00
8.709677419355e-01 3.225806451613e-02 0.000000000000e+00 5.754519929704e-01 5.754519929704e-01 0.000000000000e+00 2.877259964852e-01 2.877259964852e-01 0.000000000000e+00 6.396851745936e-01 6.396851745936e-01 0.000000000000e+00
9.032258064516e-01 3.225806451613e-02 0.000000000000e+00 6.655582276960e-01 6.655582276960e-01 0.000000000000e+00 3.327791138480e-01 3.327791138480e-01 0.000000000000e+00 7.398492598631e-01 7.398492598631e-01 0.000000000000e+00
9.354838709677e-01 3.225806451613e-02 0.000000000000e+00 7.658537272027e-01 7.658537272027e-01 0.000000000000e+00 3.829268636014e-01 3.829268636014e-01 0.000000000000e+00 8.513399574308e-01 8.513399574308e-01 0.000000000000e+00
9.677419354839e-01 3.225806451613e-02 0.000000000000e+00 8.770791351794e-01 8.770791351794e-01 0.000000000000e+00 4.385395675897e-01 4.385395675897e-01 0.000000000000e+00 9.749805832170e-01 9.749805832170e-01 0.000000000000e+00
1.000000000000e+00 3.225806451613e-02 0.000000000000e+00 1.000001082812e+00 1.000001082812e+00 0.000000000000e+00 5.000005414062e-01 5.000005414062e-01 0.000000000000e+00 1.111623341420e+00 1.111623341420e+00 0.000000000000e+00
0.000000000000e+00 6.451612903226e-02 0.000000000000e+00 1.732499856527e-05 1.732499856527e-05 0.000000000000e+00 8.662499282637e-06 8.662499282637e-06 0.000000000000e+00 1.925885194151e-05 1.925885194151e-05 0.000000000000e+00
3.225806451613e-02 6.451612903226e-02 0.000000000000e+00 1.840781097560e-05 1.840781097560e-05 0.000000000000e+00 9.203905487802e-06 9.203905487802e-06 0.000000000000e+00 2.046253018785e-05 2.046253018785e-05 0.000000000000e+00
6.451612903226e-02 6.451612903226e-02 0.000000000000e+00 3.464999713055e-05 3.464999713055e-05 0.000000000000e+00 1.732499856527e-05 1.732499856527e-05 0.000000000000e+00 3.851770388301e-05 3.851770388301e-05 0.000000000000e+00
9.677419354839e-02 6.451612903226e-02 0.000000000000e+00 1.050328038020e-04 1.050328038020e-04 0.000000000000e+00 5.251640190099e-05 5.251640190099e-05 0.000000000000e+00 1.167567898954e-04 1.167567898954e-04 0.000000000000e+00
1.290322580645e-01 6.451612903226e-02 0.000000000000e+00 2.945249756097e-04 2.945249756097e-04 0.000000000000e+00 1.472624878048e-04 1.472624878048e-04 0.000000000000e+00 3.274004830056e-04 3.274004830056e-04 0.000000000000e+00
1.612903225806e-01 6.451612903226e-02 0.000000000000e+00 6.940827550213e-04 6.940827550213e-04 0.000000000000e+00 3.470413775106e-04 3.470413775106e-04 0.000000000000e+00 7.715577559066e-04 7.715577559066e-04 0.000000000000e+00
1.935483870968e-01 6.451612903226e-02 0.000000000000e+00 1.420649882352e-03 1.420649882352e-03 0.000000000000e+00 7.103249411762e-04 7.103249411762e-04 0.000000000000e+00 1.579225859203e-03 1.579225859203e-03 0.000000000000e+00
2.258064516129e-01 6.451612903226e-02 0.000000000000e+00 2.617157595767e-03 2.617157595767e-03 0.000000000000e+00 1.308578797883e-03 1.308578797883e-03 0.000000000000e+00 2.909290321414e-03 2.909290321414e-03 0.000000000000e+00
2.580645161290e-01 6.451612903226e-02 0.000000000000e+00 4.452524631275e-03 4.452524631275e-03 0.000000000000e+00 2.226262315638e-03 2.226262315638e-03 0.000000000000e+00 4.949524948967e-03 4.949524948967e-03 0.000000000000e+00
2.903225806452e-01 6.451612903226e-02 0.000000000000e+00 7.121657222738e-03 7.121657222738e-03 0.000000000000e+00 3.560828611369e-03 3.560828611369e-03 0.000000000000e+00 7.916591826205e-03 7.916591826205e-03 0.000000000000e+00
3.225806451613e-01 6.451612903226e-02 0.000000000000e+00 1.084544910186e-02 1.084544910186e-02 0.000000000000e+00 5.422724550931e-03 5.422724550931e-03 0.000000000000e+00 1.205604131538e-02 1.205604131538e-02 0.000000000000e+00
3.548387096774e-01 6.451612903226e-02 0.000000000000e+00 1.587078149820e-02 1.587078149820e-02 0.000000000000e+00 7.935390749100e-03 7.935390749100e-03 0.000000000000e+00 1.764231205667e-02 1.764231205667e-02 0.000000000000e+00
3.870967741935e-01 6.451612903226e-02 0.000000000000e+00 2.247052313916e-02 2.247052313916e-02 0.000000000000e+00 1.123526156958e-02 1.123526156958e-02 0.000000000000e+00 2.497873096813e-02 2.497873096813e-02 0.000000000000e+00
4.193548387097e-01 6.451612903226e-02 0.000000000000e+00 3.094353024999e-02 3.094353024999e-02 0.000000000000e+00 1.547176512499e-02 1.547176512499e-02 0.000000000000e+00 3.439751324578e-02 3.439751324578e-02 0.000000000000e+00
4.516129032258e-01 6.451612903226e-02 0.000000000000e+00 4.161464655379e-02 4.161464655379e-02 0.000000000000e+00 2.080732327689e-02 2.080732327689e-02 0.000000000000e+00 4.625976236350e-02 4.625976236350e-02 0.000000000000e+00
4.838709677419e-01 6.451612903226e-02 0.000000000000e+00 5.483470327150e-02 5.483470327150e-02 0.000000000000e+00 2.741735163575e-02 2.741735163575e-02 0.000000000000e+00 6.095547007311e-02 6.095547007311e-02 0.000000000000e+00
5.161290322581e-01 6.451612903226e-02 0.000000000000e+00 7.098051912193e-02 7.098051912193e-02 0.000000000000e+00 3.549025956096e-02 3.549025956096e-02 0.000000000000e+00 7.890351640435e-02 7.890351640435e-02 0.000000000000e+00
5.483870967742e-01 6.451612903226e-02 0.000000000000e+00 9.045490032170e-02 9.045490032170e-02 0.000000000000e+00 4.522745016085e-02 4.522745016085e-02 0.000000000000e+00 1.005516696648e-01 1.005516696648e-01 0.000000000000e+00
5.806451612903e-01 6.451612903226e-02 0.000000000000e+00 1.136866405853e-01 1.136866405853e-01 0.000000000000e+00 5.684332029266e-02 5.684332029266e-02 0.000000000000e+00 1.263765864402e-01 1.263765864402e-01 0.000000000000e+00
6.129032258065e-01 6.451612903226e-02 0.000000000000e+00 1.411305211251e-01 1.411305211251e-01 0.000000000000e+00 7.056526056256e-02 7.056526056256e-02 0.000000000000e+00 1.568838115938e-01 1.568838115938e-01 0.000000000000e+00
6.451612903226e-01 6.451612903226e-02 0.000000000000e+00 1.732673106513e-01 1.732673106513e-01 0.000000000000e+00 8.663365532565e-02 8.663365532565e-02 0.000000000000e+00 1.926077782670e-01 1.926077782670e-01 0.000000000000e+00
6.774193548387e-01 6.451612903226e-02 0.000000000000e+00 2.106037653719e-01 2.106037653719e-01 0.000000000000e+00 1.053018826859e-01 1.053018826859e-01 0.000000000000e+00 2.341118078792e-01 2.341118078792e-01 0.000000000000e+00
7.096774193548e-01 6.451612903226e-02 0.000000000000e+00 2.536726289927e-01 2.536726289927e-01 0.000000000000e+00 1.268363144964e-01 1.268363144964e-01 0.000000000000e+00 2.819881101275e-01 2.819881101275e-01 0.000000000000e+00
7.419354838710e-01 6.451612903226e-02 0.000000000000e+00 3.030326327176e-01 3.030326327176e-01 0.000000000000e+00 1.515163163588e-01 1.515163163588e-01 0.000000000000e+00 3.368577829871e-01 3.368577829871e-01 0.000000000000e+00
7.741935483871e-01 6.451612903226e-02 0.000000000000e+00 3.592684952481e-01 3.592684952481e-01 0.000000000000e+00 1.796342476240e-01 1.796342476240e-01 0.000000000000e+00 3.993708127110e-01 3.993708127110e-01 0.000000000000e+00
8.064516129032e-01 6.451612903226e-02 0.000000000000e+00 4.229909227836e-01 4.229909227836e-01 0.000000000000e+00 2.114954613918e-01 2.114954613918e-01 0.000000000000e+00 4.702060738301e-01 4.702060738301e-01 0.000000000000e+00
8.387096774194e-01 6.451612903226e-02 0.000000000000e+00 4.948366090213e-01 4.948366090213e-01 0.000000000000e+00 2.474183045107e-01 2.474183045107e-01 0.000000000000e+00 5.500713291533e-01 5.500713291533e-01 0.000000000000e+00
8.709677419355e-01 6.451612903226e-02 0.000000000000e+00 5.754682351565e-01 5.754682351565e-01 0.000000000000e+00 2.877341175783e-01 2.877341175783e-01 0.000000000000e+00 6.397032297673e-01 6.397032297673e-01 0.000000000000e+00
9.032258064516e-01 6.451612903226e-02 0.000000000000e+00 6.655744698821e-01 6.655744698821e-01 0.000000000000e+00 3.327872349411e-01 3.327872349411e-01 0.000000000000e+00 7.398673150368e-01 7.398673150368e-01 0.000000000000e+00
9.354838709677e-01 6.451612903226e-02 0.000000000000e+00 7.658699693889e-01 7.658699693889e-01 0.000000000000e+00 3.829349846944e-01 3.829349846944e-01 0.000000000000e+00 8.513580126045e-01 8.513580126045e-01 0.000000000000e+00
9.677419354839e-01 6.451612903226e-02 0.000000000000e+00 8.770953773655e-01 8.770953773655e-01 0.000000000000e+00 4.385476886828e-01 4.385476886828e-01 0.000000000000e+00 9.749986383907e-01 9.749986383907e-01 0.000000000000e+00
1.000000000000e+00 6.451612903226e-02 0.000000000000e+00 1.000017324999e+00 1.000017324999e+00 0.000000000000e+00 5.000086624993e-01 5.000086624993e-01 0.000000000000e+00 1.111641396594e+00 1.111641396594e+00 0.000000000000e+00
0.000000000000e+00 9.677419354839e-02 0.000000000000e+00 8.770780523670e-05 8.770780523670e-05 0.000000000000e+00 4.385390261835e-05 4.385390261835e-05 0.000000000000e+00 9.749793795387e-05 9.749793795387e-05 0.000000000000e+00
3.225806451613e-02 9.677419354839e-02 0.000000000000e+00 8.879061764703e-05 8.879061764703e-05 0.000000000000e+00 4.439530882351e-05 4.439530882351e-05 0.000000000000e+00 9.870161620022e-05 9.870161620022e-05 0.000000000000e+00
6.451612903226e-02 9.677419354839e-02 0.000000000000e+00 1.050328038020e-04 1.050328038020e-04 0.000000000000e+00 5.251640190099e-05 5.251640190099e-05 0.000000000000e+00 1.167567898954e-04 1.167567898954e-04 0.000000000000e+00
9.677419354839e-02 9.677419354839e-02 0.000000000000e+00 1.754156104734e-04 1.754156104734e-04 0.000000000000e+00 8.770780523670e-05 8.770780523670e-05 0.000000000000e+00 1.949958759077e-04 1.949958759077e-04 0.000000000000e+00
1.290322580645e-01 9.677419354839e-02 0.000000000000e+00 3.649077822811e-04 3.649077822811e-04 0.000000000000e+00 1.824538911405e-04 1.824538911405e-04 0.000000000000e+00 4.056395690180e-04 4.056395690180e-04 0.000000000000e+00
1.612903225806e-01 9.677419354839e-02 0.000000000000e+00 7.644655616927e-04 7.644655616927e-04 0.000000000000e+00 3.822327808463e-04 3.822327808463e-04 0.000000000000e+00 8.497968419189e-04 8.497968419189e-04 0.000000000000e+00
1.935483870968e-01 9.677419354839e-02 0.000000000000e+00 1.491032689024e-03 1.491032689024e-03 0.000000000000e+00 7.455163445119e-04 7.455163445119e-04 0.000000000000e+00 1.657464945216e-03 1.657464945216e-03 0.000000000000e+00
2.258064516129e-01 9.677419354839e-02 0.000000000000e+00 2.687540402438e-03 2.687540402438e-03 0.000000000000e+00 1.343770201219e-03 1.343770201219e-03 0.000000000000e+00 2.987529407426e-03 2.987529407426e-03 0.000000000000e+00
2.580645161290e-01 9.677419354839e-02 0.000000000000e+00 4.522907437947e-03 4.522907437947e-03 0.000000000000e+00 2.261453718973e-03 2.261453718973e-03 0.000000000000e+00 5.027764034979e-03 5.027764034979e-03 0.000000000000e+00
2.903225806452e-01 9.677419354839e-02 0.000000000000e+00 7.192040029409e-03 7.192040029409e-03 0.000000000000e+00 3.596020014705e-03 3.596020014705e-03 0.000000000000e+00 7.994830912218e-03 7.994830912218e-03 0.000000000000e+00
3.225806451613e-01 9.677419354839e-02 0.000000000000e+00 1.091583190853e-02 1.091583190853e-02 0.000000000000e+00 5.457915954266e-03 5.457915954266e-03 0.000000000000e+00 1.213428040140e-02 1.213428040140e-02 0.000000000000e+00
3.548387096774e-01 9.677419354839e-02 0.000000000000e+00 1.594116430487e-02 1.594116430487e-02 0.000000000000e+00 7.970582152436e-03 7.970582152436e-03 0.000000000000e+00 1.772055114268e-02 1.772055114268e-02 0.000000000000e+00
3.870967741935e-01 9.677419354839e-02 0.000000000000e+00 2.254090594583e-02 2.254090594583e-02 0.000000000000e+00 1.127045297292e-02 1.127045297292e-02 0.000000000000e+00 2.505697005415e-02 2.505697005415e-02 0.000000000000e+00
4.193548387097e-01 9.677419354839e-02 0.000000000000e+00 3.101391305666e-02 3.101391305666e-02 0.000000000000e+00 1.550695652833e-02 1.550695652833e-02 0.000000000000e+00 3.447575233179e-02 3.447575233179e-02 0.000000000000e+00
4.516129032258e-01 9.677419354839e-02 0.000000000000e+00 4.168502936046e-02 4.168502936046e-02 0.000000000000e+00 2.084251468023e-02 2.084251468023e-02 0.000000000000e+00 4.633800144951e-02 4.633800144951e-02 0.000000000000e+00
4.838709677419e-01 9.677419354839e-02 0.000000000000e+00 5.490508607817e-02 5.490508607817e-02 0.000000000000e+00 2.745254303909e-02 2.745254303909e-02 0.000000000000e+00 6.103370915912e-02 6.103370915912e-02 0.000000000000e+00
5.161290322581e-01 9.677419354839e-02 0.000000000000e+00 7.105090192860e-02 7.105090192860e-02 0.000000000000e+00 3.552545096430e-02 3.552545096430e-02 0.000000000000e+00 7.898175549036e-02 7.898175549036e-02 0.000000000000e+00
5.483870967742e-01 9.677419354839e-02 0.000000000000e+00 9.052528312837e-02 9.052528312837e-02 0.000000000000e+00 4.526264156419e-02 4.526264156419e-02 0.000000000000e+00 1.006299087509e-01 1.006299087509e-01 0.000000000000e+00
5.806451612903e-01 9.677419354839e-02 0.000000000000e+00 1.137570233920e-01 1.137570233920e-01 0.000000000000e+00 5.687851169600e-02 5.687851169600e-02 0.000000000000e+00 1.264548255262e-01 1.264548255262e-01 0.000000000000e+00
6.129032258065e-01 9.677419354839e-02 0.000000000000e+00 1.412009039318e-01 1.412009039318e-01 0.000000000000e+00 7.060045196590e-02 7.060045196590e-02 0.000000000000e+00 1.569620506798e-01 1.569620506798e-01 0.000000000000e+00
