# x y z u_s u_c u(t)
6.774193548387e-01 1.935483870968e-01 0.000000000000e+00 9.338805691426e-03 4.669402845713e-03 -7.023361349663e-04
7.096774193548e-01 1.935483870968e-01 0.000000000000e+00 1.632044203739e-02 8.160221018696e-03 -1.227398508998e-03
7.419354838710e-01 1.935483870968e-01 0.000000000000e+00 2.782234613574e-02 1.391117306787e-02 -2.092413066117e-03
7.741935483871e-01 1.935483870968e-01 0.000000000000e+00 4.636546294238e-02 2.318273147119e-02 -3.486970509384e-03
8.064516129032e-01 1.935483870968e-01 0.000000000000e+00 7.567279828239e-02 3.783639914119e-02 -5.691063977970e-03
8.387096774194e-01 1.935483870968e-01 0.000000000000e+00 1.211545864583e-01 6.057729322913e-02 -9.111576661741e-03
8.709677419355e-01 1.935483870968e-01 0.000000000000e+00 1.905569750952e-01 9.527848754758e-02 -1.433106692669e-02
9.032258064516e-01 1.935483870968e-01 0.000000000000e+00 2.948193973937e-01 1.474096986969e-01 -2.217224802832e-02
9.354838709677e-01 1.935483870968e-01 0.000000000000e+00 4.491957632941e-01 2.245978816470e-01 -3.378230864412e-02
9.677419354839e-01 1.935483870968e-01 0.000000000000e+00 6.747062488095e-01 3.373531244047e-01 -5.074209643975e-02
1.000000000000e+00 1.935483870968e-01 0.000000000000e+00 1.000000002764e+00 5.000000013818e-01 -7.520620517376e-02
0.000000000000e+00 2.258064516129e-01 0.000000000000e+00 1.757260528982e-08 8.786302644912e-09 -1.321568955212e-09
3.225806451613e-02 2.258064516129e-01 0.000000000000e+00 1.757260529109e-08 8.786302645547e-09 -1.321568955307e-09
6.451612903226e-02 2.258064516129e-01 0.000000000000e+00 1.757261049002e-08 8.786305245009e-09 -1.321569346299e-09
